,x,y,z
0,3.216510998,9.914181513,3.866592635
0.001,0.650685986,4.486606167,5.84805047
0.002,1.318906913,8.869120427,2.594125945
0.003,8.26282217,2.762088665,1.941167642
0.004,9.427509745,9.980892,9.159029515
0.005,3.365597479,4.931951287,3.025248605
0.006,3.954919417,0.124099097,5.188645958
0.007,3.101081862,4.172699065,7.864963873
0.008,3.248288906,5.376070792,6.797626464
0.009,0.78509743,6.867653528,0.573808684
0.01,7.467011159,6.81243402,9.225159797
0.011,9.517303696,8.700518686,0.23034654
0.012,6.543725358,7.855293539,8.111538296
0.013,1.64230807,3.866791195,1.567650995
0.014,2.441029884,8.722961399,0.105725999
0.015,2.462895908,3.467571848,1.412918223
0.016,1.718239079,8.669298642,4.027665805
0.017,7.047514397,0.62244081,8.341347526
0.018,8.688012662,8.756070312,3.503663986
0.019,6.108263938,9.070729337,0.386631626
0.02,5.096812878,9.857176676,7.457476984
0.021,3.587863246,7.732496677,8.176549201
0.022,3.522637688,6.640377012,1.40102438
0.023,3.076641642,7.067384403,0.081384747
0.024,5.960797849,4.549297623,3.049332447
0.025,3.016436758,3.561826207,7.276707817
0.026,7.253848243,5.580156388,8.616907336
0.027,6.264617399,1.183613386,1.610429461
0.028,8.617237222,9.786850305,9.361512865
0.029,6.394971938,2.283055815,3.614143274
0.03,1.3371744,0.556880337,7.494877897
0.031,2.978577203,3.255206779,3.515646261
0.032,1.140627206,8.981248033,1.510139026
0.033,7.398380467,0.835212667,1.644665496
0.034,8.650225624,8.753503812,5.634742959
0.035,0.335224579,7.944038663,1.545015556
0.036,5.884122403,0.648842073,0.529546376
0.037,9.478699725,3.081544287,8.634315008
0.038,9.002905365,3.036528217,0.93727562
0.039,7.51749082,6.626982635,4.681276373
0.04,0.037067693,7.856232525,5.894452312
0.041,0.594638671,8.3253168,9.846061081
0.042,0.47293648,4.269767862,9.665363481
0.043,3.192282963,4.408724102,6.427818041
0.044,0.352925621,1.182585254,8.72899291
0.045,1.036306646,2.738935839,3.421862461
0.046,7.846182725,1.585762418,6.692328131
0.047,3.76335259,4.857791078,4.40251676
0.048,5.040071853,1.158452801,5.822897207
0.049,5.904425396,1.124409772,1.060399345
0.05,3.097398579,8.488748369,4.609242751
0.051,5.42198846,2.731095544,2.094578004
0.052,1.041487965,5.557728387,5.210277811
0.053,1.046427409,9.128273679,0.859962829
0.054,3.838083482,8.07505993,2.443180887
0.055,2.67513751,3.085436361,3.914894989
0.056,1.318634346,3.178578208,1.657438386
0.057,6.637790656,3.247904718,0.797068297
0.058,6.816906511,1.443071857,1.92924236
0.059,9.145881715,8.131736866,1.772288132
0.06,6.350723834,6.60112441,8.825075449
0.061,7.046883375,2.41145285,6.046114684
0.062,9.543908906,2.247478372,8.542060366
0.063,8.303228393,4.507592003,4.417711632
0.064,4.041411656,6.053341306,2.680405353
0.065,5.825175579,2.100723389,1.857149782
0.066,5.318939128,5.498160598,5.884758815
0.067,3.567909585,9.891915748,9.190337119
0.068,5.060881253,8.658650415,9.526077179
0.069,2.889755747,9.141463752,2.732856108
0.07,7.150067002,7.228768998,5.959666633
0.071,1.296715157,9.105846154,6.432234566
0.072,5.375118742,0.673865884,2.29455434
0.073,7.485860439,5.383440175,2.947405674
0.074,8.069882177,4.788381305,3.838676382
0.075,3.791441411,6.078154751,0.430621093
0.076,3.18961208,6.366965287,5.030163287
0.077,0.663747323,7.42991986,9.566857991
0.078,4.227351466,9.369751602,0.595458315
0.079,5.273795929,7.397385654,8.349011154
0.08,0.434378846,2.786674644,7.289776194
0.081,6.205542695,8.287878557,8.222953446
0.082,5.377535752,3.963106336,2.614279152
0.083,1.147985231,6.989158166,9.462680821
0.084,2.841334479,7.109012479,9.800711087
0.085,3.216148323,2.969397906,9.262314636
0.086,4.507021085,1.509322563,1.124986843
0.087,2.483292244,9.916813712,7.956065309
0.088,5.369773909,5.260388509,2.028047671
0.089,1.805872917,8.877044185,0.441372589
0.09,3.256509399,4.931714398,9.446150881
0.091,0.928598759,9.710656945,9.121979507
0.092,0.442508387,9.332423412,2.733010157
0.093,0.532727757,9.33159546,5.055012357
0.094,1.533177416,9.099990686,6.794977736
0.095,9.968740943,2.817104958,0.342357036
0.096,3.307510358,9.295593551,6.045372512
0.097,4.421713582,5.818190706,7.55351224
0.098,7.307050901,0.248015257,2.912936497
0.099,7.897767295,8.145609613,2.994267199
0.1,4.465606174,3.466695766,6.786445753
0.101,2.731662908,6.830668099,1.576884335
0.102,4.759385769,7.941358095,5.667372723
0.103,5.269418713,9.071490969,9.227833404
0.104,8.776796671,2.700650698,1.463339852
0.105,5.673123774,0.436425228,2.462684259
0.106,8.272502157,8.866629238,3.037005997
0.107,8.143157083,8.930880321,2.880776908
0.108,8.345704782,2.880413493,2.218310849
0.109,3.703158738,6.013127977,8.994077378
0.11,4.523756387,1.371486036,5.207068415
0.111,4.799034675,6.75768315,3.929511923
0.112,7.081580361,1.80135261,9.290829412
