,a,b,c,d,e
0,3.216510998,9.914181513,3.866592635,0.746334938,4.606170334
0.001,0.650685986,4.486606167,5.84805047,1.991102499,5.211598163
0.002,1.318906913,8.869120427,2.594125945,9.226401504,2.357597024
0.003,8.26282217,2.762088665,1.941167642,5.280758711,4.70049113
0.004,9.427509745,9.980892,9.159029515,7.596349624,5.459172038
0.005,3.365597479,4.931951287,3.025248605,4.429583828,0.266107605
0.006,3.954919417,0.124099097,5.188645958,8.396827293,6.004471029
0.007,3.101081862,4.172699065,7.864963873,7.054648363,6.564559053
0.008,3.248288906,5.376070792,6.797626464,4.949277297,3.721723589
0.009,0.78509743,6.867653528,0.573808684,4.784995547,3.353019651
0.01,7.467011159,6.81243402,9.225159797,6.087789718,4.96518347
0.011,9.517303696,8.700518686,0.23034654,5.713361286,2.103701957
0.012,6.543725358,7.855293539,8.111538296,4.649829634,3.602449325
0.013,1.64230807,3.866791195,1.567650995,3.565358613,2.064989323
0.014,2.441029884,8.722961399,0.105725999,9.486691054,6.121627172
0.015,2.462895908,3.467571848,1.412918223,3.158213729,6.963204318
0.016,1.718239079,8.669298642,4.027665805,8.058580011,0.809604394
0.017,7.047514397,0.62244081,8.341347526,9.649342586,9.197365965
0.018,8.688012662,8.756070312,3.503663986,7.435768716,5.406829065
0.019,6.108263938,9.070729337,0.386631626,9.758570146,1.374126141
0.02,5.096812878,9.857176676,7.457476984,8.67449837,2.367185538
0.021,3.587863246,7.732496677,8.176549201,3.928531143,6.249888871
0.022,3.522637688,6.640377012,1.40102438,8.913753923,4.507260023
0.023,3.076641642,7.067384403,0.081384747,4.992984762,6.03748333
0.024,5.960797849,4.549297623,3.049332447,7.92029179,4.770732202
0.025,3.016436758,3.561826207,7.276707817,7.60281954,5.558677934
0.026,7.253848243,5.580156388,8.616907336,6.462989565,5.110947513
0.027,6.264617399,1.183613386,1.610429461,4.307348407,9.044575352
0.028,8.617237222,9.786850305,9.361512865,6.977834621,4.624034
0.029,6.394971938,2.283055815,3.614143274,0.340298323,8.678166355
0.03,1.3371744,0.556880337,7.494877897,2.778872351,3.200627204
0.031,2.978577203,3.255206779,3.515646261,1.628092427,1.236327441
0.032,1.140627206,8.981248033,1.510139026,3.410234129,3.579994085
0.033,7.398380467,0.835212667,1.644665496,0.241103411,7.793677235
0.034,8.650225624,8.753503812,5.634742959,5.983305223,1.940418304
0.035,0.335224579,7.944038663,1.545015556,1.14873959,4.4616808
0.036,5.884122403,0.648842073,0.529546376,7.178292376,8.325490646
0.037,9.478699725,3.081544287,8.634315008,2.45880488,2.938246224
0.038,9.002905365,3.036528217,0.93727562,6.386108272,6.734936101
0.039,7.51749082,6.626982635,4.681276373,6.137654222,0.656138425
0.04,0.037067693,7.856232525,5.894452312,9.992012434,1.699279352
0.041,0.594638671,8.3253168,9.846061081,4.405357355,9.859582508
0.042,0.47293648,4.269767862,9.665363481,2.183331248,5.258009194
0.043,3.192282963,4.408724102,6.427818041,1.208515459,2.362349728
0.044,0.352925621,1.182585254,8.72899291,6.503549107,6.23502175
0.045,1.036306646,2.738935839,3.421862461,3.944644882,3.640525226
0.046,7.846182725,1.585762418,6.692328131,6.489671775,5.134601859
0.047,3.76335259,4.857791078,4.40251676,6.237490817,9.431127745
0.048,5.040071853,1.158452801,5.822897207,0.675080102,4.7971518
0.049,5.904425396,1.124409772,1.060399345,6.675290284,3.877151708
0.05,3.097398579,8.488748369,4.609242751,9.190307122,3.435424674
0.051,5.42198846,2.731095544,2.094578004,4.400735921,1.711087827
0.052,1.041487965,5.557728387,5.210277811,7.408443077,1.753062962
0.053,1.046427409,9.128273679,0.859962829,5.492767813,7.242869954
0.054,3.838083482,8.07505993,2.443180887,6.684222406,6.290823518
0.055,2.67513751,3.085436361,3.914894989,8.206858242,2.608362809
0.056,1.318634346,3.178578208,1.657438386,1.633453932,9.306798212
0.057,6.637790656,3.247904718,0.797068297,1.548864876,6.970368473
0.058,6.816906511,1.443071857,1.92924236,2.520276035,0.251123093
0.059,9.145881715,8.131736866,1.772288132,3.134410338,2.832470742
0.06,6.350723834,6.60112441,8.825075449,8.925519303,5.940046315
0.061,7.046883375,2.41145285,6.046114684,3.736648531,0.023130297
0.062,9.543908906,2.247478372,8.542060366,8.54525642,2.509916508
0.063,8.303228393,4.507592003,4.417711632,8.694988988,8.932967205
0.064,4.041411656,6.053341306,2.680405353,4.422188734,8.64913858
0.065,5.825175579,2.100723389,1.857149782,0.237227601,5.163980954
0.066,5.318939128,5.498160598,5.884758815,2.152076096,3.621553823
0.067,3.567909585,9.891915748,9.190337119,4.449146871,6.921527873
0.068,5.060881253,8.658650415,9.526077179,0.569958057,7.222651649
0.069,2.889755747,9.141463752,2.732856108,9.714737402,1.53955341
0.07,7.150067002,7.228768998,5.959666633,6.06921452,2.424312589
0.071,1.296715157,9.105846154,6.432234566,0.656316255,4.423786081
0.072,5.375118742,0.673865884,2.29455434,3.008049051,6.579348678
0.073,7.485860439,5.383440175,2.947405674,7.745463019,9.269088913
0.074,8.069882177,4.788381305,3.838676382,9.472177691,1.437188234
0.075,3.791441411,6.078154751,0.430621093,6.004461602,7.104274712
0.076,3.18961208,6.366965287,5.030163287,2.532411003,7.310523387
0.077,0.663747323,7.42991986,9.566857991,4.424028958,4.401253578
